       fs     200K     300K    400K     500K
   26150 0.07763 0.14178 0.33269 0.93092
   26200 0.07766 0.14183 0.33288 0.93148
   26250 0.07768 0.14188 0.33307 0.93204
   26300 0.07771 0.14192 0.33325 0.93261
   26350 0.07774 0.14197 0.33344 0.93317
   26400 0.07776 0.14202 0.33363 0.93373
   26450 0.07779 0.14206 0.33382 0.93429
   26500 0.07782 0.14211 0.33401 0.93485
   26550 0.07784 0.14215  0.3342 0.93541
   26600 0.07787  0.1422 0.33438 0.93597
   26650  0.0779 0.14225 0.33457 0.93653
   26700 0.07792 0.14229 0.33476 0.93708
   26750 0.07795 0.14234 0.33495 0.93764
   26800 0.07797 0.14238 0.33513  0.9382
   26850   0.078 0.14243 0.33532 0.93875
   26900 0.07803 0.14247 0.33551 0.93931
   26950 0.07805 0.14252 0.33569 0.93986
   27000 0.07808 0.14256 0.33588 0.94042
   27050 0.07811 0.14261 0.33607 0.94097
   27100 0.07813 0.14265 0.33625 0.94152
   27150 0.07816  0.1427 0.33644 0.94208
   27200 0.07818 0.14274 0.33663 0.94263
   27250 0.07821 0.14279 0.33681 0.94318
   27300 0.07824 0.14283   0.337 0.94373
   27350 0.07826 0.14288 0.33718 0.94428
   27400 0.07829 0.14292 0.33737 0.94483
   27450 0.07832 0.14297 0.33755 0.94538
   27500 0.07834 0.14301 0.33774 0.94593
   27550 0.07837 0.14305 0.33792 0.94647
   27600 0.07839  0.1431 0.33811 0.94702
   27650 0.07842 0.14314 0.33829 0.94757
   27700 0.07845 0.14319 0.33848 0.94811
   27750 0.07847 0.14323 0.33866 0.94866
   27800  0.0785 0.14327 0.33885  0.9492
   27850 0.07853 0.14332 0.33903 0.94975
   27900 0.07855 0.14336 0.33922 0.95029
   27950 0.07858 0.14341  0.3394 0.95083
   28000  0.0786 0.14345 0.33958 0.95138
   28050 0.07863 0.14349 0.33977 0.95192
   28100 0.07866 0.14354 0.33995 0.95246
   28150 0.07868 0.14358 0.34013   0.953
   28200 0.07871 0.14362 0.34032 0.95354
   28250 0.07873 0.14367  0.3405 0.95408
   28300 0.07876 0.14371 0.34068 0.95462
   28350 0.07879 0.14375 0.34087 0.95516
   28400 0.07881 0.14379 0.34105 0.95569
   28450 0.07884 0.14384 0.34123 0.95623
   28500 0.07886 0.14388 0.34142 0.95677
   28550 0.07889 0.14392  0.3416  0.9573
   28600 0.07892 0.14396 0.34178 0.95784
   28650 0.07894 0.14401 0.34196 0.95837
   28700 0.07897 0.14405 0.34214 0.95891
   28750 0.07899 0.14409 0.34233 0.95944
   28800 0.07902 0.14413 0.34251 0.95997
   28850 0.07904 0.14418 0.34269  0.9605
   28900 0.07907 0.14422 0.34287 0.96104
   28950  0.0791 0.14426 0.34305 0.96157
   29000 0.07912  0.1443 0.34323  0.9621
