fs      200K    300K    400K    500K
19000   0.04894 0.09718 0.15505 0.22333
19050   0.04894 0.0972  0.15507 0.22331
19100   0.04894 0.09723 0.15509 0.2233
19150   0.04895 0.09725 0.15511 0.22328
19200   0.04895 0.09727 0.15513 0.22327
19250   0.04895 0.0973  0.15515 0.22325
19300   0.04896 0.09732 0.15517 0.22324
19350   0.04896 0.09734 0.15519 0.22322
19400   0.04896 0.09737 0.15521 0.22321
19450   0.04896 0.09739 0.15523 0.22319
19500   0.04897 0.09742 0.15525 0.22318
19550   0.04897 0.09744 0.15527 0.22317
19600   0.04897 0.09746 0.15529 0.22315
19650   0.04898 0.09749 0.15531 0.22314
19700   0.04898 0.09751 0.15532 0.22312
19750   0.04898 0.09753 0.15534 0.22311
19800   0.04899 0.09756 0.15536 0.2231
19850   0.04899 0.09758 0.15538 0.22309
19900   0.04899 0.0976  0.1554  0.22307
19950   0.04899 0.09763 0.15542 0.22306
20000   0.049   0.09765 0.15544 0.22305
20050   0.049   0.09768 0.15546 0.22303
20100   0.049   0.0977  0.15548 0.22302
20150   0.04901 0.09772 0.15549 0.22301
20200   0.04901 0.09775 0.15551 0.223
20250   0.04901 0.09777 0.15553 0.22299
20300   0.04902 0.09779 0.15555 0.22298
20350   0.04902 0.09782 0.15557 0.22296
20400   0.04902 0.09784 0.15559 0.22295
20450   0.04903 0.09787 0.15561 0.22294
20500   0.04903 0.09789 0.15562 0.22293
20550   0.04903 0.09791 0.15564 0.22292
20600   0.04904 0.09794 0.15566 0.22291
20650   0.04904 0.09796 0.15568 0.2229
20700   0.04904 0.09798 0.1557  0.22289
20750   0.04905 0.09801 0.15572 0.22288
20800   0.04905 0.09803 0.15573 0.22287
20850   0.04905 0.09805 0.15575 0.22286
20900   0.04906 0.09808 0.15577 0.22285
20950   0.04906 0.0981  0.15579 0.22284
21000   0.04906 0.09813 0.15581 0.22283
21050   0.04907 0.09815 0.15582 0.22282
21100   0.04907 0.09817 0.15584 0.22281
21150   0.04907 0.0982  0.15586 0.2228
21200   0.04908 0.09822 0.15588 0.22279
21250   0.04908 0.09824 0.15589 0.22278
21300   0.04908 0.09827 0.15591 0.22278
21350   0.04909 0.09829 0.15593 0.22277
21400   0.04909 0.09831 0.15595 0.22276
21450   0.04909 0.09834 0.15596 0.22275
21500   0.0491  0.09836 0.15598 0.22274
21550   0.0491  0.09839 0.156   0.22274
21600   0.0491  0.09841 0.15602 0.22273
21650   0.04911 0.09843 0.15603 0.22272
21700   0.04911 0.09846 0.15605 0.22271
21750   0.04911 0.09848 0.15607 0.22271
21800   0.04912 0.0985  0.15609 0.2227
21850   0.04912 0.09853 0.1561  0.22269
21900   0.04913 0.09855 0.15612 0.22269
21950   0.04913 0.09857 0.15614 0.22268
22000   0.04913 0.0986  0.15615 0.22268
22050   0.04914 0.09862 0.15617 0.22267
22100   0.04914 0.09864 0.15619 0.22266
22150   0.04914 0.09867 0.15621 0.22266
22200   0.04915 0.09869 0.15622 0.22265
22250   0.04915 0.09872 0.15624 0.22265
22300   0.04916 0.09874 0.15626 0.22264
22350   0.04916 0.09876 0.15627 0.22264
22400   0.04916 0.09879 0.15629 0.22263
22450   0.04917 0.09881 0.15631 0.22263
