fs      200K    300K    400K    500K
25700   0.03787 0.05657 0.09048 0.11692
25750   0.03787 0.05658 0.09051 0.11696
25800   0.03787 0.05658 0.09055 0.11701
25850   0.03787 0.05659 0.09059 0.11705
25900   0.03787 0.0566  0.09062 0.1171
25950   0.03787 0.05661 0.09066 0.11714
26000   0.03788 0.05662 0.0907  0.11718
26050   0.03788 0.05662 0.09073 0.11723
26100   0.03788 0.05663 0.09077 0.11727
26150   0.03788 0.05664 0.09081 0.11732
26200   0.03788 0.05665 0.09084 0.11736
26250   0.03788 0.05666 0.09088 0.11741
26300   0.03789 0.05666 0.09091 0.11745
26350   0.03789 0.05667 0.09095 0.1175
26400   0.03789 0.05668 0.09099 0.11754
26450   0.03789 0.05669 0.09102 0.11759
26500   0.03789 0.0567  0.09106 0.11763
26550   0.03789 0.0567  0.09109 0.11767
26600   0.0379  0.05671 0.09113 0.11772
26650   0.0379  0.05672 0.09117 0.11776
26700   0.0379  0.05673 0.0912  0.11781
26750   0.0379  0.05674 0.09124 0.11785
26800   0.0379  0.05674 0.09127 0.1179
26850   0.0379  0.05675 0.09131 0.11794
26900   0.03791 0.05676 0.09134 0.11799
26950   0.03791 0.05677 0.09138 0.11803
27000   0.03791 0.05678 0.09141 0.11808
27050   0.03791 0.05678 0.09145 0.11812
27100   0.03791 0.05679 0.09149 0.11817
27150   0.03792 0.0568  0.09152 0.11821
27200   0.03792 0.05681 0.09156 0.11826
27250   0.03792 0.05682 0.09159 0.1183
27300   0.03792 0.05682 0.09163 0.11835
27350   0.03792 0.05683 0.09166 0.11839
27400   0.03792 0.05684 0.0917  0.11843
27450   0.03793 0.05685 0.09173 0.11848
27500   0.03793 0.05686 0.09177 0.11852
27550   0.03793 0.05686 0.0918  0.11857
27600   0.03793 0.05687 0.09184 0.11861
27650   0.03793 0.05688 0.09187 0.11866
27700   0.03793 0.05689 0.0919  0.1187
27750   0.03794 0.05689 0.09194 0.11875
27800   0.03794 0.0569  0.09197 0.11879
27850   0.03794 0.05691 0.09201 0.11884
27900   0.03794 0.05692 0.09204 0.11888
27950   0.03794 0.05693 0.09208 0.11893
28000   0.03795 0.05693 0.09211 0.11897
28050   0.03795 0.05694 0.09215 0.11902
28100   0.03795 0.05695 0.09218 0.11906
28150   0.03795 0.05696 0.09221 0.11911
28200   0.03795 0.05697 0.09225 0.11915
28250   0.03795 0.05697 0.09228 0.1192
28300   0.03796 0.05698 0.09232 0.11924
28350   0.03796 0.05699 0.09235 0.11929
28400   0.03796 0.057   0.09238 0.11933
28450   0.03796 0.057   0.09242 0.11938
28500   0.03796 0.05701 0.09245 0.11942
28550   0.03796 0.05702 0.09248 0.11947
28600   0.03797 0.05703 0.09252 0.11951
28650   0.03797 0.05704 0.09255 0.11956
28700   0.03797 0.05704 0.09258 0.11961
28750   0.03797 0.05705 0.09262 0.11965
28800   0.03797 0.05706 0.09265 0.1197
28850   0.03798 0.05707 0.09268 0.11974
28900   0.03798 0.05707 0.09272 0.11979
28950   0.03798 0.05708 0.09275 0.11983
29000   0.03798 0.05709 0.09278 0.11988
29050   0.03798 0.0571  0.09282 0.11992
29100   0.03799 0.05711 0.09285 0.11997
29150   0.03799 0.05711 0.09288 0.12001
29200   0.03799 0.05712 0.09292 0.12006
29250   0.03799 0.05713 0.09295 0.1201
29300   0.03799 0.05714 0.09298 0.12015
29350   0.03799 0.05714 0.09301 0.12019
29400   0.038   0.05715 0.09305 0.12024
29450   0.038   0.05716 0.09308 0.12028
29500   0.038   0.05717 0.09311 0.12033
29550   0.038   0.05717 0.09314 0.12038
29600   0.038   0.05718 0.09318 0.12042
29650   0.03801 0.05719 0.09321 0.12047
29700   0.03801 0.0572  0.09324 0.12051
29750   0.03801 0.0572  0.09327 0.12056
29800   0.03801 0.05721 0.09331 0.1206
29850   0.03801 0.05722 0.09334 0.12065
29900   0.03801 0.05723 0.09337 0.12069
29950   0.03802 0.05724 0.0934  0.12074
